Resignation,Business Travel,CF_age band,CF_current Employee,Current Status,Department,Education,Employee Number,Gender,Job Role,Marital Status,Over Time,Trainings Last Year,Age,Daily Rate,Distance From Home,Education Degree,Environment Satisfaction,Job Involvement,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Stock Option Level,Total Working Years,Work Life Balance,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,Sales,Life Sciences,1,Female,Sales Executive,Single,Yes,0,41,1102,1,Associates Degree,2,3,4,5993,8,11,3,0,8,1,4,0,5
No,Travel_Frequently,45 - 54,1,Current Employees,R&D,Life Sciences,2,Male,Research Scientist,Married,No,3,49,279,8,High School,3,2,2,5130,1,23,4,1,10,3,7,1,7
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,R&D,Other,4,Male,Laboratory Technician,Single,Yes,3,37,1373,2,Associates Degree,4,2,3,2090,6,15,3,0,7,3,0,0,0
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,5,Female,Research Scientist,Married,Yes,3,33,1392,3,Master's Degree,4,3,3,2909,1,11,3,0,8,3,7,3,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,7,Male,Laboratory Technician,Married,No,3,27,591,2,High School,1,3,2,3468,9,12,3,1,6,3,2,2,2
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,8,Male,Laboratory Technician,Single,No,2,32,1005,2,Associates Degree,4,3,4,3068,0,13,3,0,8,2,7,3,6
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Medical,10,Female,Laboratory Technician,Married,Yes,3,59,1324,3,Bachelor's Degree,3,4,1,2670,4,20,4,3,12,2,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,11,Male,Laboratory Technician,Divorced,No,2,30,1358,24,High School,4,3,3,2693,1,22,4,1,1,3,0,0,0
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,12,Male,Manufacturing Director,Single,No,2,38,216,23,Bachelor's Degree,4,2,3,9526,0,21,4,0,10,3,7,1,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,13,Male,Healthcare Representative,Married,No,3,36,1299,27,Bachelor's Degree,3,3,3,5237,6,13,3,2,17,2,7,7,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,14,Male,Laboratory Technician,Married,No,5,35,809,16,Bachelor's Degree,1,4,2,2426,0,13,3,1,6,3,4,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,15,Female,Laboratory Technician,Single,Yes,3,29,153,15,Associates Degree,4,2,3,4193,0,12,3,0,10,3,5,0,8
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,16,Male,Research Scientist,Divorced,No,1,31,670,26,High School,1,3,3,2911,1,17,3,1,5,2,2,4,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,18,Male,Laboratory Technician,Divorced,No,2,34,1346,19,Associates Degree,2,3,4,2661,0,11,3,1,3,3,2,1,2
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Life Sciences,19,Male,Laboratory Technician,Single,Yes,4,28,103,24,Bachelor's Degree,3,2,3,2028,5,14,3,0,6,3,2,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,20,Female,Manufacturing Director,Divorced,No,1,29,1389,21,Master's Degree,2,4,1,9980,1,11,3,1,10,3,9,8,8
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,21,Male,Research Scientist,Divorced,Yes,5,32,334,5,Associates Degree,1,4,2,3298,0,12,3,2,7,2,2,0,5
No,Non-Travel,Under 25,1,Current Employees,R&D,Medical,22,Male,Laboratory Technician,Divorced,Yes,2,22,1123,16,Associates Degree,4,4,4,2935,1,13,3,2,1,2,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Life Sciences,23,Female,Manager,Married,No,3,53,1219,2,Master's Degree,1,2,4,15427,2,16,3,0,31,3,8,3,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,24,Male,Research Scientist,Single,Yes,3,38,371,2,Bachelor's Degree,4,3,4,3944,5,11,3,0,6,3,2,1,2
No,Non-Travel,Under 25,1,Current Employees,R&D,Other,26,Female,Manufacturing Director,Divorced,No,5,24,673,11,Associates Degree,1,4,3,4011,0,18,3,1,5,2,2,1,3
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,Sales,Life Sciences,27,Male,Sales Representative,Single,No,4,36,1218,9,Master's Degree,3,2,1,3407,7,23,4,0,10,3,3,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,28,Female,Research Director,Single,No,4,34,419,7,Master's Degree,1,3,2,11994,0,11,3,0,13,3,6,2,11
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Life Sciences,30,Male,Research Scientist,Single,No,6,21,391,15,Associates Degree,3,3,4,1232,1,14,3,0,0,3,0,0,0
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Medical,31,Male,Research Scientist,Single,No,2,34,699,6,High School,2,3,1,2960,2,11,3,0,8,3,2,1,3
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Other,32,Female,Manager,Divorced,No,3,53,1282,5,Bachelor's Degree,3,3,3,19094,4,11,3,1,26,2,13,4,8
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Life Sciences,33,Female,Research Scientist,Single,Yes,5,32,1125,16,High School,2,1,1,3919,1,22,4,0,10,3,2,6,7
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,35,Male,Sales Executive,Married,No,2,42,691,8,Master's Degree,3,3,2,6825,0,11,3,1,10,3,7,4,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,36,Female,Healthcare Representative,Married,No,4,44,477,7,Master's Degree,1,2,4,10248,3,14,3,1,24,3,6,5,17
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Marketing,38,Female,Manager,Single,No,2,46,705,2,Master's Degree,2,3,1,18947,3,12,3,0,22,2,2,2,1
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,39,Male,Laboratory Technician,Single,No,3,33,924,2,Bachelor's Degree,3,3,4,2496,4,11,3,0,7,3,1,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,40,Male,Healthcare Representative,Married,Yes,5,44,1459,10,Master's Degree,4,3,4,6465,2,13,3,0,9,4,2,1,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,41,Male,Laboratory Technician,Single,No,5,30,125,9,Associates Degree,4,2,3,2206,1,13,3,0,10,3,0,1,8
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,Sales,Technical Degree,42,Male,Sales Representative,Married,No,6,39,895,5,Bachelor's Degree,4,3,4,2086,3,14,3,1,19,4,0,0,0
Yes,Travel_Rarely,Under 25,0,Ex-Employees,R&D,Medical,45,Male,Research Scientist,Married,Yes,2,24,813,1,Bachelor's Degree,2,3,4,2293,2,16,3,1,6,2,0,2,0
